cnpj_base,cnpj_ordem,cnpj_dv,matriz_filial,nome_fantasia,situacao_cadastral,data_situacao_cadastral,motivo_situacao_cadastral,nome_cidade_exterior,pais,data_inicio_atividade,cnae_principal,cnaes_secundarios,tipo_logradouro,logradouro,numero,complemento,bairro,cep,uf,codigo_municipio,ddd1,telefone1,ddd2,telefone2,ddd_fax,fax,email1,email2,email3
21598748,4465,58,1,ALFA ME,08,20020613,,,,20180915,4083399,3038433,RUA,RIO BRANCO,6667,ANDAR 3,SÃO JOSÉ,50066-855,PE,2611606,81,91928965,,,,,contato@alfamerecife.com.br,,
72808880,0843,97,2,GLOBAL DO BAIRRO,02,20070726,,,,20110802,8639024,"7831212,4454276",RODOVIA,PAULISTA,9512,SALA 101,VILA NOVA,29577-874,ES,3205200,27,37912346,,,,,contato@globaldobairvilave.com.br,,
22749445,3686,40,2,GAMA POPULAR,08,20031102,REGULARIZACAO,,,19920905,5062823,"6260620,8041045,5136722",RUA,DOS ANDRADAS,4501,SALA 101,INDUSTRIAL,38294-845,MG,3170206,34,43347579,,,,,contato@gamapopularuberlâ.com.br,,
40377654,7244,00,2,DISTRIBUIDORA CENTRAL,08,20070111,REGULARIZACAO,,,20230624,7530972,3328104,ESTRADA,TIRADENTES,7588,ANDAR 3,CENTRO,38763-708,MG,3170206,34,66796185,,,,,contato@distribuidoruberlâ.com.br,contato@distribuidoruberlâ.com.br,
12961950,1500,19,1,GAMA MAX,02,20110126,MUDANCA ENDERECO,,,19930227,8069237,"1626209,3754264,7158427,8607661",AVENIDA,GETULIO VARGAS,2834,SALA 101,SÃO JOSÉ,57815-492,AL,2704302,82,44481236,,,,,contato@gamamaxmaceió.com.br,,
37908793,5999,66,2,SERVTEC MAX,08,20231005,REORGANIZACAO SOCIETARIA,,,20090410,8886794,2069132,ALAMEDA,RIO BRANCO,1383,GALPAO,CENTRO,20034-130,RJ,3304557,21,23161084,,,,,contato@servtecmaxriodej.com.br,,
84953640,7284,72,1,BETA POPULAR,02,20130209,MUDANCA ENDERECO,,,20170808,3899552,"5919789,3099783,1736862",ESTRADA,RIO BRANCO,8998,ANDAR 3,SANTO ANTÔNIO,66954-861,PA,1501402,91,71064973,,,,,contato@betapopularbelém.com.br,contato@betapopular2belém.com.br,
25831995,4114,18,2,SERVTEC DO BAIRRO,02,20151031,,,,19980412,8355678,"2309149,9702981,9880590",RUA,GETULIO VARGAS,5993,SALA 101,SANTO ANTÔNIO,49527-811,SE,2800308,79,43776557,,,,,contato@servtecdobaiaracaj.com.br,,
12411556,9915,37,1,COMERCIAL ME,02,20110527,REORGANIZACAO SOCIETARIA,,,20231106,5353026,"4634296,4043488",ESTRADA,TIRADENTES,9075,FUNDOS,SÃO JOSÉ,57151-239,AL,2704302,82,33026702,,,,,contato@comercialmemaceió.com.br,,
76993506,3434,30,2,BRASIL POPULAR,08,20060505,MUDANCA ENDERECO,,,20200213,8516328,"5534864,3608586,2078863,6614411",ESTRADA,RIO BRANCO,7407,GALPAO,BOA VISTA,24749-343,RJ,3303302,21,20759753,,,,,contato@brasilpopulaniteró.com.br,,
40195445,9352,89,1,BRASIL CENTRAL,08,20200120,,,,20030508,1867165,"7891279,3151680",ALAMEDA,FLORES,6947,GALPAO,SÃO JOSÉ,74059-795,GO,5208707,62,29903783,,,,,contato@brasilcentragoiâni.com.br,contato@brasilcentragoiâni.com.br,
40570852,8814,86,2,DISTRIBUIDORA EIRELI,08,20060601,MUDANCA ENDERECO,,,19970225,5014316,"4007491,1564570,8584338",AVENIDA,TIRADENTES,2441,GALPAO,BOA VISTA,88693-461,SC,4205407,48,68467977,48,79899509,,,contato@distribuidorfloria.com.br,contato@distribuidorfloria.com.br,
04301096,2941,83,1,BETA LTDA,08,20060112,,,,20250401,9159461,6095573,TRAVESSA,RIO BRANCO,6270,FUNDOS,JARDIM AMÉRICA,96739-443,RS,4314407,53,45887347,53,38191293,,,contato@betaltdapelota.com.br,,
19390963,9483,77,1,GLOBAL CENTRAL,08,20000412,REORGANIZACAO SOCIETARIA,,,20030723,9773173,"4540232,3750938,9174437,5734928",AVENIDA,BRASIL,5984,LOJA 2,CENTRO,90725-154,RS,4314902,51,97739444,51,27263004,,,contato@globalcentraportoa.com.br,,
14667292,6296,30,1,GAMA EXPRESS,08,20240714,,,,19911213,6141425,"1858012,9815843",RODOVIA,BRASIL,4503,ANDAR 3,CENTRO,29703-760,ES,3205200,27,49853230,,,,,contato@gamaexpressvilave.com.br,,contato@gamaexpress3vilave.com.br
64419203,5133,43,2,ALFA EXPRESS,02,20130517,REGULARIZACAO,,,20200525,8931910,5684188,TRAVESSA,TIRADENTES,7928,ANDAR 3,SANTA LUZIA,38507-661,MG,3170206,34,72115829,,,,,contato@alfaexpressuberlâ.com.br,,
30189888,4337,51,2,MERCADINHO LTDA,02,20150630,REGULARIZACAO,,,20010807,7759073,"4808390,8162937,3103197",RODOVIA,FLORES,1962,LOJA 2,VILA NOVA,13936-079,SP,3509502,19,69968854,,,,,contato@mercadinholtcampin.com.br,,
62181858,0547,73,2,DISTRIBUIDORA LTDA,08,20120928,REGULARIZACAO,,,19960708,2484442,"6785707,8826854",TRAVESSA,SETEMBRO,4444,FUNDOS,INDUSTRIAL,89359-771,SC,4209102,47,63478671,,,,,contato@distribuidorjoinvi.com.br,,
80054850,2960,39,2,DISTRIBUIDORA DO BAIRRO,02,20200710,REGULARIZACAO,,,19920310,3139793,5586684,AVENIDA,RIO BRANCO,9854,SALA 101,CENTRO,30943-014,MG,3106200,31,70186327,,,,,contato@distribuidorbeloho.com.br,,
04814163,9502,97,1,BETA POPULAR,08,20251020,REORGANIZACAO SOCIETARIA,,,20010611,5601739,"4899658,4657751,6499761",ALAMEDA,FLORES,2074,SALA 101,SANTO ANTÔNIO,29578-285,ES,3205309,27,64207835,,,,,contato@betapopularvitóri.com.br,,
73063883,0952,32,2,LOJA EIRELI,08,20070525,,,,20240524,2882333,"5434500,5728266",AVENIDA,SETEMBRO,3056,FUNDOS,BOA VISTA,01258-147,SP,3550308,11,65333191,,,11,25885497,contato@lojaeirelisãopau.com.br,,
83335348,1730,84,2,COMERCIAL CENTRAL,02,20050114,REGULARIZACAO,,,20251113,8003539,"1119436,9900804,1731046",AVENIDA,RIO BRANCO,1536,SALA 101,SÃO JOSÉ,80299-231,PR,4106902,41,44966721,41,36081509,,,contato@comercialcencuriti.com.br,,
04015181,2768,34,1,ALFA LTDA,02,20091201,REORGANIZACAO SOCIETARIA,,,19911108,5798640,8483731,AVENIDA,GETULIO VARGAS,4760,SALA 101,BOA VISTA,88681-977,SC,4205407,48,79233464,,,,,contato@alfaltdafloria.com.br,contato@alfaltda2floria.com.br,
46470779,4881,41,2,COMERCIAL EXPRESS,08,20160528,REGULARIZACAO,,,20090119,7978905,2572467,ESTRADA,TIRADENTES,455,LOJA 2,BOA VISTA,77378-811,TO,1721000,63,71197057,,,,,contato@comercialexppalmas.com.br,,
74681638,4460,87,2,BRASIL EXPRESS,08,20020117,,,,19910506,2089570,"9020585,4134934",RUA,BRASIL,7550,FUNDOS,BOA VISTA,58699-445,PB,2507507,83,52588388,83,49382694,,,contato@brasilexpresjoãope.com.br,,
62395783,3048,51,2,MERCADINHO POPULAR,08,20031018,REGULARIZACAO,,,20040208,5520190,4882833,TRAVESSA,TIRADENTES,2474,ANDAR 3,JARDIM AMÉRICA,24417-823,RJ,3303302,21,51013208,21,78042077,,,contato@mercadinhoponiteró.com.br,,
52904523,2222,94,1,SERVTEC EXPRESS,08,20150626,MUDANCA ENDERECO,,,20161220,5938082,"2660629,8819403",ESTRADA,SETEMBRO,7202,LOJA 2,SANTA LUZIA,38935-733,MG,3170206,34,22248647,34,65763350,,,contato@servtecexpreuberlâ.com.br,,
14653824,0749,29,2,BRASIL EIRELI,02,20170226,REGULARIZACAO,,,19940910,9450243,"9273837,3474884",AVENIDA,BRASIL,98,LOJA 2,SÃO JOSÉ,38688-652,MG,3170206,34,50015316,,,,,contato@brasileireliuberlâ.com.br,,
17686600,1270,42,1,COMERCIAL CENTRAL,02,20060222,MUDANCA ENDERECO,,,20180203,5667768,"2269032,3095270,4884563,6751730",AVENIDA,GETULIO VARGAS,2472,SALA 101,BOA VISTA,24326-883,RJ,3303302,21,74104857,,,,,contato@comercialcenniteró.com.br,,
12894728,8719,29,1,COMERCIAL CENTRAL,02,20190428,REGULARIZACAO,,,20021104,7129457,"6338776,5425502",RUA,TIRADENTES,5626,LOJA 2,SANTO ANTÔNIO,01300-630,SP,3550308,11,55999803,,,,,contato@comercialcensãopau.com.br,,
01146243,3761,63,1,ALFA EIRELI,08,20080106,,,,20170425,7403299,6672364,RODOVIA,SETEMBRO,4408,LOJA 2,BOA VISTA,07201-717,SP,3518800,11,84424790,11,77504578,,,contato@alfaeireliguarul.com.br,,
05856440,8799,96,2,BETA EXPRESS,02,20200128,MUDANCA ENDERECO,,,19950306,5677067,"8892191,2155606,2779045,1423687",ESTRADA,BRASIL,3499,,INDUSTRIAL,44067-572,BA,2910800,75,42712605,,,,,contato@betaexpressfeirad.com.br,,
13576546,9177,77,2,GLOBAL MAX,02,20020827,,,,20120811,8325851,"1154763,5017632,4642049",ESTRADA,GETULIO VARGAS,2729,SALA 101,INDUSTRIAL,38966-692,MG,3170206,34,29879144,34,36117933,,,contato@globalmaxuberlâ.com.br,,
76856093,6595,65,2,LOJA POPULAR,08,20070430,REORGANIZACAO SOCIETARIA,,,20061017,6369815,"2099954,6787042,3321395",AVENIDA,TIRADENTES,7345,FUNDOS,SANTA LUZIA,70610-955,DF,5300108,61,58375011,61,82041664,,,contato@lojapopularbrasíl.com.br,,
18584149,2907,44,1,MERCADINHO MAX,08,20031108,REGULARIZACAO,,,20190214,9520849,3894489,AVENIDA,RIO BRANCO,9123,LOJA 2,VILA NOVA,07668-343,SP,3518800,11,79967335,,,,,contato@mercadinhomaguarul.com.br,,
85110544,2788,66,1,MERCADINHO EXPRESS,02,20100828,,,,20240621,4575435,"5503674,7124313,8540779,4683725",TRAVESSA,TIRADENTES,3712,SALA 101,VILA NOVA,50288-647,PE,2611606,81,81883242,,,,,contato@mercadinhoexrecife.com.br,,
89429334,2652,28,1,GAMA CENTRAL,02,20251106,MUDANCA ENDERECO,,,19960705,3087035,"2454738,3721587",RODOVIA,DOS ANDRADAS,5807,SALA 101,SANTO ANTÔNIO,40938-686,BA,2927408,71,89665466,,,,,contato@gamacentralsalvad.com.br,,
38809082,8007,79,1,MERCADINHO LTDA,02,20190910,REGULARIZACAO,,,20200415,3312479,5317432,AVENIDA,FLORES,2674,ANDAR 3,INDUSTRIAL,24660-542,RJ,3303302,21,51905085,21,22081389,,,contato@mercadinholtniteró.com.br,,
65510669,5474,47,2,DISTRIBUIDORA ME,02,20251114,REGULARIZACAO,,,20211026,4443301,"2156483,6174284,7022564",TRAVESSA,DOS ANDRADAS,1780,,INDUSTRIAL,29967-914,ES,3205309,27,87989507,,,,,contato@distribuidorvitóri.com.br,,
47056571,0738,42,1,DISTRIBUIDORA ME,02,20170920,,,,19960323,6892268,"6801089,7964265,8791971,3196535",AVENIDA,DOS ANDRADAS,1278,ANDAR 3,INDUSTRIAL,01575-061,SP,3550308,11,34848775,,,,,contato@distribuidorsãopau.com.br,,
99914043,8038,50,1,COMERCIAL EIRELI,08,20001028,MUDANCA ENDERECO,,,20250422,2181568,"6632077,6039994",ALAMEDA,SETEMBRO,5116,SALA 101,INDUSTRIAL,66086-898,PA,1501402,91,27862664,,,,,contato@comercialeirbelém.com.br,,
31405538,9353,07,1,DISTRIBUIDORA EXPRESS,02,20150228,REGULARIZACAO,,,20170718,6963099,"6459729,5321293",RODOVIA,DOS ANDRADAS,6393,FUNDOS,SANTO ANTÔNIO,40639-412,BA,2927408,71,34618364,,,,,contato@distribuidorsalvad.com.br,,contato@distribuidorsalvad.com.br
46546502,6786,98,1,BETA POPULAR,08,20171203,REORGANIZACAO SOCIETARIA,,,19921228,6415111,"3996647,1568578,2586921",ALAMEDA,FLORES,6693,GALPAO,SÃO JOSÉ,29193-940,ES,3205200,27,59167890,,,,,contato@betapopularvilave.com.br,,
98948883,6162,05,2,BRASIL MAX,08,20061211,MUDANCA ENDERECO,,,20230328,3429038,"9176452,4274067,8091316",TRAVESSA,FLORES,2490,ANDAR 3,JARDIM AMÉRICA,88790-523,SC,4205407,48,93661951,,,48,53974932,contato@brasilmaxfloria.com.br,contato@brasilmax2floria.com.br,
71711428,1545,71,2,MERCADINHO EXPRESS,02,20140329,,,,20080227,6290634,6954250,ESTRADA,PAULISTA,2590,LOJA 2,SANTA LUZIA,69074-327,RR,1400100,95,42759791,,,,,contato@mercadinhoexboavis.com.br,,
13080758,1801,24,2,BETA POPULAR,02,20150915,MUDANCA ENDERECO,,,19960108,5801229,"7364148,5818543,6620825",RODOVIA,DOS ANDRADAS,6566,,SÃO JOSÉ,30702-241,MG,3106200,31,51121515,,,,,contato@betapopularbeloho.com.br,,
95841710,2606,33,2,LOJA MAX,02,20200331,,,,20060212,2391613,"1311324,4446147,8943092,9503577",RUA,TIRADENTES,4505,GALPAO,SANTO ANTÔNIO,80651-233,PR,4106902,41,47722356,41,77144692,,,contato@lojamaxcuriti.com.br,,
58054974,9319,23,1,GLOBAL LTDA,02,20150111,,,,20090707,5863456,"8443559,4668312",ALAMEDA,PAULISTA,252,LOJA 2,SANTA LUZIA,88445-871,SC,4205407,48,21249203,,,,,contato@globalltdafloria.com.br,,
51637867,6884,51,2,DISTRIBUIDORA LTDA,08,20020507,MUDANCA ENDERECO,,,20220509,6478618,5611465,RODOVIA,PAULISTA,5783,,INDUSTRIAL,65518-978,MA,2111300,98,93605422,,,,,contato@distribuidorsãoluí.com.br,,
89874705,5878,53,2,GLOBAL LTDA,08,20000617,REORGANIZACAO SOCIETARIA,,,20210509,2687332,"9339329,8388152,7306005",ALAMEDA,PAULISTA,6485,ANDAR 3,VILA NOVA,79339-988,MS,5002704,67,60426102,,,,,contato@globalltdacampog.com.br,contato@globalltda2campog.com.br,
82009768,4559,46,2,DISTRIBUIDORA POPULAR,08,20110329,MUDANCA ENDERECO,,,20120903,3107814,"7703052,9015115,1018287,1031132",TRAVESSA,DOS ANDRADAS,185,FUNDOS,JARDIM AMÉRICA,87838-357,PR,4115200,44,37402248,,,,,contato@distribuidormaring.com.br,,
58877439,1685,55,2,GLOBAL ME,08,20121108,REGULARIZACAO,,,20081125,8998807,"4249514,8248467,7407580",AVENIDA,GETULIO VARGAS,8573,ANDAR 3,SANTO ANTÔNIO,69366-208,RR,1400100,95,83796542,95,55618434,,,contato@globalmeboavis.com.br,,
97691518,2208,85,1,BETA LTDA,02,20140714,,,,20051229,6151340,"8952704,7368957",TRAVESSA,GETULIO VARGAS,1154,GALPAO,SÃO JOSÉ,87396-830,PR,4115200,44,30575453,,,,,contato@betaltdamaring.com.br,,
83899025,3324,14,1,ALFA POPULAR,08,20030424,REORGANIZACAO SOCIETARIA,,,19910214,2738019,"6556460,5410983,8557205,7496369",RUA,GETULIO VARGAS,4271,GALPAO,SÃO JOSÉ,95787-483,RS,4305108,54,35107362,54,38564798,,,contato@alfapopularcaxias.com.br,,
20825564,7923,09,1,GAMA LTDA,02,20140216,REGULARIZACAO,,,19910906,6804986,"4835767,7013987,3400480",RUA,GETULIO VARGAS,2750,GALPAO,SANTO ANTÔNIO,65423-891,MA,2111300,98,81408720,,,,,contato@gamaltdasãoluí.com.br,contato@gamaltda2sãoluí.com.br,
96451329,5107,80,2,BRASIL POPULAR,08,20080901,REORGANIZACAO SOCIETARIA,,,20140926,7930747,"5767824,6237708",TRAVESSA,DOS ANDRADAS,7340,ANDAR 3,VILA NOVA,86247-570,PR,4113700,43,46196109,,,,,contato@brasilpopulalondri.com.br,contato@brasilpopulalondri.com.br,
31096266,1720,66,2,GLOBAL DO BAIRRO,08,20020901,REORGANIZACAO SOCIETARIA,,,20241009,4476371,"3416090,2900777,3524200,2313825",RODOVIA,PAULISTA,9463,ANDAR 3,INDUSTRIAL,36697-213,MG,3136702,32,45199200,,,,,contato@globaldobairjuizde.com.br,,
43592768,9352,28,1,ALFA EXPRESS,08,20010513,,,,20000107,9005300,"4741049,9892489",ESTRADA,RIO BRANCO,5197,GALPAO,VILA NOVA,79657-866,MS,5002704,67,52218148,,,67,87794741,contato@alfaexpresscampog.com.br,,
31383986,4226,15,1,MERCADINHO MAX,08,20180202,REORGANIZACAO SOCIETARIA,,,19900519,4412512,"7876275,4211624,2811492,1948243",AVENIDA,TIRADENTES,3452,LOJA 2,SÃO JOSÉ,25035-340,RJ,3301702,21,96739774,,,,,contato@mercadinhomaduqued.com.br,,
06718889,3769,06,2,BETA ME,02,20110617,REGULARIZACAO,,,20141215,8648760,"3661322,7410427,9356710",RUA,GETULIO VARGAS,934,,SÃO JOSÉ,76126-976,RO,1100205,69,20717343,,,,,contato@betameportov.com.br,contato@betame2portov.com.br,
03528615,1356,21,1,MERCADINHO ME,02,20160421,MUDANCA ENDERECO,,,20060903,8063275,"9554868,8035512",ESTRADA,BRASIL,811,LOJA 2,CENTRO,80334-265,PR,4106902,41,63864114,41,56803073,,,contato@mercadinhomecuriti.com.br,,
31982335,2165,82,1,BRASIL DO BAIRRO,02,20011113,MUDANCA ENDERECO,,,20101220,8432788,"7199769,3096339,6653336",RUA,TIRADENTES,4846,FUNDOS,INDUSTRIAL,70540-479,DF,5300108,61,97449995,,,,,contato@brasildobairbrasíl.com.br,,contato@brasildobairbrasíl.com.br
69504590,8915,52,1,GAMA EXPRESS,02,20150905,,,,19940328,8231079,"2378133,7384390,5310509,8089663",AVENIDA,DOS ANDRADAS,7083,ANDAR 3,SANTO ANTÔNIO,44223-863,BA,2910800,75,86034298,,,,,contato@gamaexpressfeirad.com.br,contato@gamaexpress2feirad.com.br,
19247662,4176,50,1,BETA DO BAIRRO,02,20051228,,,,20010503,1959921,"9609182,9534437,5533965,1045166",AVENIDA,TIRADENTES,1846,LOJA 2,VILA NOVA,69874-619,AM,1302603,92,44872450,,,92,41988538,contato@betadobairromanaus.com.br,,
77326205,6540,96,1,DISTRIBUIDORA DO BAIRRO,08,20000108,REORGANIZACAO SOCIETARIA,,,20160825,8468437,"1419239,3196387,2518668",RODOVIA,GETULIO VARGAS,2891,FUNDOS,SANTA LUZIA,24363-636,RJ,3303302,21,54645238,21,45296922,,,contato@distribuidorniteró.com.br,,
02384677,5468,15,2,BETA EXPRESS,02,20210227,REGULARIZACAO,,,20220112,4565336,"1857365,8255887",ESTRADA,RIO BRANCO,8108,FUNDOS,SÃO JOSÉ,90205-027,RS,4314902,51,39647935,,,,,contato@betaexpressportoa.com.br,,
31592564,6525,51,2,MERCADINHO DO BAIRRO,02,20140625,REORGANIZACAO SOCIETARIA,,,20030522,7389790,"5499527,5809198,1603299,5746438",AVENIDA,TIRADENTES,2845,LOJA 2,SÃO JOSÉ,69754-689,AM,1302603,92,25858554,92,56452947,,,contato@mercadinhodomanaus.com.br,contato@mercadinhodomanaus.com.br,
49978039,6181,91,2,COMERCIAL DO BAIRRO,02,20101122,REORGANIZACAO SOCIETARIA,,,19940729,7878319,"1574071,7268297,8654774",RUA,PAULISTA,70,,INDUSTRIAL,44619-150,BA,2910800,75,62555258,,,,,contato@comercialdobfeirad.com.br,,
64513021,3347,71,2,GLOBAL ME,02,20060114,REORGANIZACAO SOCIETARIA,,,19980605,6509354,"9754178,3139287",ESTRADA,RIO BRANCO,6936,,INDUSTRIAL,36232-246,MG,3136702,32,24645899,,,,,contato@globalmejuizde.com.br,,
91595583,4483,72,2,GAMA ME,08,20011225,REGULARIZACAO,,,19971001,5091893,"1366666,4630170,2034529,4105916",ESTRADA,TIRADENTES,9950,,CENTRO,68634-538,AP,1600303,96,63331421,,,,,contato@gamamemacapá.com.br,contato@gamame2macapá.com.br,
80070549,3407,95,1,BRASIL DO BAIRRO,02,20031005,,,,20060511,1284966,"7207908,2465521,5974814,2539097",RODOVIA,FLORES,8594,ANDAR 3,JARDIM AMÉRICA,60291-102,CE,2304400,85,85909618,,,,,contato@brasildobairfortal.com.br,,
47696684,6726,89,2,GAMA POPULAR,02,20240131,,,,19901213,5193857,"2692267,5868880,7167588",TRAVESSA,DOS ANDRADAS,6645,,BOA VISTA,89521-370,SC,4209102,47,26616587,,,,,contato@gamapopularjoinvi.com.br,,
58026122,4736,01,2,DISTRIBUIDORA EIRELI,02,20190304,,,,19971106,4585238,"9590619,8077784",TRAVESSA,BRASIL,8580,SALA 101,BOA VISTA,70096-543,DF,5300108,61,66424537,,,,,contato@distribuidorbrasíl.com.br,,
08389540,2934,92,1,BRASIL DO BAIRRO,02,20051219,REGULARIZACAO,,,20120216,4736582,2923840,ESTRADA,PAULISTA,7927,FUNDOS,INDUSTRIAL,44973-584,BA,2910800,75,34086993,,,,,contato@brasildobairfeirad.com.br,contato@brasildobairfeirad.com.br,
52202522,1467,53,2,ALFA EIRELI,02,20070904,MUDANCA ENDERECO,,,19971209,2520212,1159511,ALAMEDA,PAULISTA,8424,SALA 101,JARDIM AMÉRICA,96337-941,RS,4314407,53,24144575,,,,,contato@alfaeirelipelota.com.br,,
79690863,8694,52,2,GAMA DO BAIRRO,02,20020203,MUDANCA ENDERECO,,,19911204,2113361,5860622,RODOVIA,FLORES,1441,,SANTO ANTÔNIO,38056-531,MG,3170206,34,99188245,,,,,contato@gamadobairrouberlâ.com.br,,
14528508,4472,13,2,GLOBAL CENTRAL,08,20051127,MUDANCA ENDERECO,,,20230401,8387361,"1104704,1539066",ALAMEDA,DOS ANDRADAS,8012,ANDAR 3,INDUSTRIAL,29684-703,ES,3205002,27,94008540,27,67817919,,,contato@globalcentraserra.com.br,,
62856792,3021,79,2,DISTRIBUIDORA POPULAR,02,20210211,,,,20250327,1175205,"9671154,8914292",RUA,BRASIL,983,,SANTA LUZIA,66983-013,PA,1501402,91,42685370,91,83771018,,,contato@distribuidorbelém.com.br,,
12744028,0435,19,1,COMERCIAL EIRELI,02,20160108,REGULARIZACAO,,,20030816,9570648,"5794373,1361293,1161153,5875134",RODOVIA,DOS ANDRADAS,8792,LOJA 2,CENTRO,36302-164,MG,3136702,32,24506351,,,,,contato@comercialeirjuizde.com.br,,
23356147,5507,70,2,SERVTEC MAX,08,20081205,,,,19960913,7083329,"6990764,4611807,9968506",ALAMEDA,FLORES,9849,SALA 101,JARDIM AMÉRICA,29049-144,ES,3205200,27,78889112,27,42857064,,,contato@servtecmaxvilave.com.br,,
19047858,3660,65,1,DISTRIBUIDORA CENTRAL,02,20170305,REORGANIZACAO SOCIETARIA,,,20020506,3817345,"1342868,8621093,7962290",ESTRADA,RIO BRANCO,2003,,JARDIM AMÉRICA,58620-720,PB,2507507,83,57997273,,,,,contato@distribuidorjoãope.com.br,,
80019282,0261,36,1,ALFA MAX,08,20130506,REGULARIZACAO,,,20250123,2232195,"6587593,9070414,8020321",AVENIDA,DOS ANDRADAS,5311,FUNDOS,INDUSTRIAL,96764-607,RS,4314407,53,50325234,,,,,contato@alfamaxpelota.com.br,,
72478842,8480,09,1,SERVTEC POPULAR,02,20120810,REORGANIZACAO SOCIETARIA,,,20221126,1712179,"6825525,4980996,6987359",ALAMEDA,TIRADENTES,7463,LOJA 2,BOA VISTA,95548-202,RS,4305108,54,29307518,54,41391991,,,contato@servtecpopulcaxias.com.br,,contato@servtecpopulcaxias.com.br
70643997,9530,52,2,COMERCIAL POPULAR,08,20230331,REORGANIZACAO SOCIETARIA,,,20230913,9147467,"9254692,6243058,6013461,4614893",ESTRADA,PAULISTA,8652,SALA 101,CENTRO,69681-254,AM,1302603,92,83738399,92,66134828,,,contato@comercialpopmanaus.com.br,,
19420721,9527,83,2,BRASIL LTDA,02,20040523,REORGANIZACAO SOCIETARIA,,,20060822,5157124,4029202,AVENIDA,BRASIL,5833,FUNDOS,SANTA LUZIA,78068-323,MT,5103403,65,39128648,,,,,contato@brasilltdacuiabá.com.br,,
52128683,7322,10,1,LOJA CENTRAL,08,20150308,MUDANCA ENDERECO,,,20210930,2781792,2217812,ESTRADA,DOS ANDRADAS,5150,GALPAO,CENTRO,29090-620,ES,3205309,27,88263599,27,37702034,,,contato@lojacentralvitóri.com.br,,
40304832,1759,47,1,LOJA EIRELI,08,20181002,MUDANCA ENDERECO,,,20180427,6481233,"1817864,8044951,4125983,8143051",TRAVESSA,PAULISTA,8475,,SANTO ANTÔNIO,95642-999,RS,4305108,54,95847366,,,,,contato@lojaeirelicaxias.com.br,,
14920443,6102,20,2,GLOBAL EIRELI,08,20070113,REORGANIZACAO SOCIETARIA,,,20211101,1939702,8708010,TRAVESSA,TIRADENTES,866,SALA 101,SANTO ANTÔNIO,30780-963,MG,3106200,31,88179245,,,,,contato@globaleirelibeloho.com.br,,
71283427,3238,09,2,ALFA CENTRAL,08,20201101,REORGANIZACAO SOCIETARIA,,,19980612,4418728,"6864208,1742661,9317588",RODOVIA,TIRADENTES,9472,ANDAR 3,INDUSTRIAL,60474-213,CE,2304400,85,77116324,,,,,contato@alfacentralfortal.com.br,,
02923723,8837,22,1,DISTRIBUIDORA LTDA,02,20030928,REORGANIZACAO SOCIETARIA,,,20250524,7727783,"5173644,2414429,4898532,8881744",ALAMEDA,BRASIL,5508,FUNDOS,SANTA LUZIA,29220-713,ES,3205200,27,77387280,,,,,contato@distribuidorvilave.com.br,,
87405815,7084,30,2,GLOBAL ME,02,20200214,MUDANCA ENDERECO,,,19940627,5409507,"5617948,9299602",AVENIDA,SETEMBRO,202,FUNDOS,SANTO ANTÔNIO,38687-754,MG,3170206,34,32895177,,,,,contato@globalmeuberlâ.com.br,,
83356762,1067,29,1,LOJA ME,02,20150204,MUDANCA ENDERECO,,,20010201,2655372,7242127,RODOVIA,FLORES,2685,LOJA 2,VILA NOVA,88902-857,SC,4205407,48,83189441,,,,,contato@lojamefloria.com.br,contato@lojame2floria.com.br,
29570656,2693,62,2,SERVTEC EIRELI,02,20030219,REORGANIZACAO SOCIETARIA,,,20130728,7371052,"3184616,8729359",TRAVESSA,PAULISTA,1102,ANDAR 3,SANTO ANTÔNIO,50300-426,PE,2611606,81,68912322,,,,,contato@servteceirelrecife.com.br,,
06842521,2939,92,2,GLOBAL POPULAR,08,20080707,REGULARIZACAO,,,20131006,1689960,"2698973,2016149",ESTRADA,RIO BRANCO,2234,ANDAR 3,JARDIM AMÉRICA,24224-578,RJ,3303302,21,43784883,21,50968825,,,contato@globalpopulaniteró.com.br,,
58704365,8013,65,1,COMERCIAL EIRELI,02,20220714,,,,20171111,4186448,"8051061,2409290,3611137",AVENIDA,FLORES,7944,GALPAO,SANTA LUZIA,13360-853,SP,3509502,19,84636873,19,49917344,,,contato@comercialeircampin.com.br,,
00519815,0391,18,2,LOJA MAX,08,20250130,REGULARIZACAO,,,20031018,6527646,"4319496,8995290,9439201",ESTRADA,BRASIL,9537,,VILA NOVA,20275-295,RJ,3304557,21,35981514,,,,,contato@lojamaxriodej.com.br,,
64189720,3281,11,2,DISTRIBUIDORA EIRELI,02,20020712,REORGANIZACAO SOCIETARIA,,,19911008,9183151,"8119510,2367550,3936008,2012958",RUA,GETULIO VARGAS,1178,,INDUSTRIAL,96004-324,RS,4314407,53,37477311,,,,,contato@distribuidorpelota.com.br,,contato@distribuidorpelota.com.br
51898489,2322,26,1,GAMA EIRELI,02,20040516,MUDANCA ENDERECO,,,20020514,5858415,8278647,ESTRADA,RIO BRANCO,4186,FUNDOS,SÃO JOSÉ,87868-423,PR,4115200,44,83403131,44,66125876,,,contato@gamaeirelimaring.com.br,,
31681441,7106,81,1,LOJA EIRELI,08,20111020,,,,20040621,6846129,"7596891,5109728,3225390",RUA,GETULIO VARGAS,6897,,CENTRO,68417-229,AP,1600303,96,67625864,,,,,contato@lojaeirelimacapá.com.br,contato@lojaeireli2macapá.com.br,
